accuracy,macro_f1,balanced_accuracy,best_epoch,encoder,task
0.72,0.51164994425864,0.55,52,biomedclip,closest_to_center
0.38,0.240886287625418,0.4,149,clip,closest_to_center
0.62,0.3810583368991584,0.525,41,dino,closest_to_center
0.72,0.5181818181818182,0.59375,144,dinov3,closest_to_center
0.38,0.2870588235294118,0.34375,149,levjepa,closest_to_center
0.4,0.23082520116418423,0.303125,149,levljepa,closest_to_center
0.58,0.4260640841702534,0.5,147,qwen,closest_to_center
0.5762081784386617,0.3483946345014402,0.4275329118123329,18,biomedclip,fo_class_identification
0.5055762081784386,0.3967374129138835,0.4085630207845437,147,clip,fo_class_identification
0.6505576208178439,0.6170667037407495,0.628600404001285,26,dino,fo_class_identification
0.7267657992565055,0.6383873071200984,0.6438044844463976,98,dinov3,fo_class_identification
0.4089219330855018,0.129362774889144,0.2019410430839002,147,levjepa,fo_class_identification
0.5947955390334573,0.441839236670995,0.4861433471779601,101,levljepa,fo_class_identification
0.724907063197026,0.5948049027943929,0.5813518332586929,148,qwen,fo_class_identification
0.9045748613678374,0.2629523756419136,0.6412058146522261,20,biomedclip,fo_class_identification_multilabel
0.8914048059149723,0.1585253987397809,0.5806179845177355,148,clip,fo_class_identification_multilabel
0.9108133086876156,0.3385067825083998,0.7145575730571052,44,dino,fo_class_identification_multilabel
0.927449168207024,0.3568840922598396,0.7354856303457915,97,dinov3,fo_class_identification_multilabel
0.8634473197781886,0.0818887297039159,0.5150736141639907,123,levjepa,fo_class_identification_multilabel
0.910351201478743,0.27457517714821034,0.6597759076819298,123,levljepa,fo_class_identification_multilabel
0.9101201478743068,0.1868180918928044,0.6101360387254064,148,qwen,fo_class_identification_multilabel
0.7142857142857143,0.4166666666666667,0.5,6,biomedclip,grasped_by_instrument
0.7142857142857143,0.4166666666666667,0.5,3,clip,grasped_by_instrument
0.8571428571428571,0.7878787878787878,0.75,12,dino,grasped_by_instrument
0.7142857142857143,0.65,0.65,29,dinov3,grasped_by_instrument
0.7142857142857143,0.4166666666666667,0.5,3,levjepa,grasped_by_instrument
0.7142857142857143,0.4166666666666667,0.5,11,levljepa,grasped_by_instrument
0.7142857142857143,0.4166666666666667,0.5,3,qwen,grasped_by_instrument
0.6791666666666667,0.2169671888856044,0.2548690232739312,15,biomedclip,object_count
0.6791666666666667,0.2022332506203474,0.25,32,clip,object_count
0.675,0.2014925373134328,0.2484662576687116,16,dino,object_count
0.6708333333333333,0.2017543859649122,0.2469325153374233,29,dinov3,object_count
0.6791666666666667,0.2022332506203474,0.25,2,levjepa,object_count
0.675,0.20149253731343283,0.24846625766871167,56,levljepa,object_count
0.6791666666666667,0.2022332506203474,0.25,79,qwen,object_count
0.4146341463414634,0.2365424430641821,0.4064516129032258,22,biomedclip,quadrant_localization
0.2439024390243902,0.1721611721611721,0.3311827956989248,149,clip,quadrant_localization
0.4390243902439024,0.2717480931766646,0.3612903225806452,23,dino,quadrant_localization
0.4146341463414634,0.283050283050283,0.5182795698924731,117,dinov3,quadrant_localization
0.1707317073170731,0.0897435897435897,0.075268817204301,148,levjepa,quadrant_localization
0.6097560975609756,0.3655103066867773,0.5483870967741936,134,levljepa,quadrant_localization
0.6341463414634146,0.3171608265947888,0.5591397849462365,147,qwen,quadrant_localization
