level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.4065762058800223,0.33660257984270386,0.48616535050787585,1875
leaf,object_attributes,0.6354166666666666,0.3333333333333333,0.9166666666666666,21
leaf,object_identification,0.10707958037561974,0.06688375687047501,0.1430153596050203,1591
leaf,spatial_localization_camera,0.39177424271127104,0.28627368091216154,0.4896665097312444,427
leaf,spatial_localization_situs,0.689988711001642,0.48666839850164206,0.8750359195402299,86
group,aggregation,0.4065762058800223,0.3340878497633692,0.47825554697004,1875
group,object_recognition,0.19095136581947064,0.1316391433640022,0.2500026997305051,2125
answer_format,binary,0.3101539031144295,0.22922679294389822,0.386071673940095,548
answer_format,fo_class,0.11215363780752938,0.07092687381367142,0.15146643126057935,1755
answer_format,multiple_choice,0.7026175735853156,0.4673305637015314,0.9116188769414574,112
answer_format,number,0.4509658510060815,0.3600814586049998,0.5558378523246424,1326
answer_format,open_ended,0.5054123607009855,0.35211664921100405,0.643952947971666,259
overall,MEAN,0.2895,0.25575000000000003,0.32725624999999997,4000
pre_evaluation,SCORE,0.29578039215686275,,,2
