level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.424314675886738,0.37642849705072706,0.47140345008617485,955
leaf,object_attributes,0.6551494636316065,0.5508699769972091,0.7620374367695795,192
leaf,object_identification,0.6328559176477645,0.5745921144084919,0.6910822997739765,866
leaf,spatial_localization_camera,0.7285572970446921,0.6406848749115032,0.8148165806240912,213
leaf,spatial_localization_situs,0.8333333333333333,0.6428571428571429,0.9761904761904762,26
group,aggregation,0.424314675886738,0.37779943031914104,0.4715551790043061,955
group,object_recognition,0.6509190343620653,0.603225394730455,0.6990681247193711,1297
answer_format,binary,0.7925925925925925,0.694375,0.8750462962962963,176
answer_format,fo_class,0.6300960916306642,0.5714654139394771,0.6846842265778893,920
answer_format,multiple_choice,0.8424908424908425,0.7234355921855923,0.9404990842490842,90
answer_format,number,0.34180490359338217,0.2942235897181585,0.38960075200163585,768
answer_format,open_ended,0.6678430521392705,0.5906399996624524,0.7508350262453466,298
overall,MEAN,0.5505897266313934,0.5154213514109346,0.5903633432539682,2252
pre_evaluation,SCORE,0.5339385694736545,,,2
