level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.18934864592547523,0.14660728844188992,0.23084960460229972,955
leaf,object_attributes,0.5273002790859933,0.40941556831065756,0.6426738427742892,192
leaf,object_identification,0.1863791851457703,0.14109616944154743,0.23346854373376036,866
leaf,spatial_localization_camera,0.33667386535033594,0.2419967702990287,0.43894131370496914,213
leaf,spatial_localization_situs,0.6428571428571429,0.40446428571428567,0.857142857142857,26
group,aggregation,0.18934864592547523,0.14948912584042603,0.23391896291216965,955
group,object_recognition,0.2672892721285488,0.2242054154679517,0.31407078170106006,1297
answer_format,binary,0.5891093474426808,0.4896781305114638,0.6861276455026455,176
answer_format,fo_class,0.1935633672510451,0.14761780105520084,0.23919293673452183,920
answer_format,multiple_choice,0.6614556078841792,0.5112272152450724,0.8063562925170067,90
answer_format,number,0.10076147668636036,0.06664039861769441,0.14030769129183973,768
answer_format,open_ended,0.37387378611118105,0.29221795478098,0.45653779977900255,298
overall,MEAN,0.23269400352733688,0.201636078042328,0.2647153328924162,2252
pre_evaluation,SCORE,0.2260262304875932,,,2
