level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.5526142484366225,0.47670074642316584,0.613736403310362,1875
leaf,object_attributes,0.48437499999999994,0.16666666666666666,0.7760416666666666,21
leaf,object_identification,0.6983235658047073,0.6042912714507463,0.7840633124414447,1591
leaf,spatial_localization_camera,0.685435839385139,0.6050074963716073,0.762181827431651,427
leaf,spatial_localization_situs,0.6938628899835796,0.48722354782430216,0.8975651683087028,86
group,aggregation,0.5526142484366225,0.47648273054308954,0.6092146915313889,1875
group,object_recognition,0.6873660990428898,0.6052990986704178,0.7610865560224334,2125
answer_format,binary,0.7005563953590268,0.6049193794144452,0.7834749406295458,548
answer_format,fo_class,0.68815819241423,0.6060605176683019,0.7648530348604026,1755
answer_format,multiple_choice,0.8599761051373955,0.7231964809384164,0.9749103942652328,112
answer_format,number,0.4938143084161847,0.4148506110999171,0.559087572666092,1326
answer_format,open_ended,0.6392258194550214,0.5449723114039329,0.7274140604302317,259
overall,MEAN,0.6130000000000001,0.5454874999999999,0.6687500000000001,4000
pre_evaluation,SCORE,0.6091921568627451,,,2
