level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.5673784815344638,0.48702294409862473,0.6321423274167055,1875
leaf,object_attributes,0.609375,0.3020833333333333,0.9013020833333331,21
leaf,object_identification,0.6739557417688267,0.5622189191729776,0.7843086328264257,1591
leaf,spatial_localization_camera,0.6070668154422418,0.48442717560997883,0.703173713254207,427
leaf,spatial_localization_situs,0.6425236042692939,0.41763585283251226,0.8647507440476189,86
group,aggregation,0.5673784815344638,0.4824609814627553,0.6343477989825554,1875
group,object_recognition,0.6566462753147014,0.551707622787871,0.7570216473150728,2125
answer_format,binary,0.724687089226563,0.6430430074311654,0.8015800153793573,548
answer_format,fo_class,0.6614680375913495,0.5544974498830757,0.7714139490152983,1755
answer_format,multiple_choice,0.7443195394808299,0.5386256381014446,0.909199522102748,112
answer_format,number,0.5064561427517636,0.4190854296575336,0.585581377481737,1326
answer_format,open_ended,0.5882769726029489,0.47924203672671417,0.6967933198380566,259
overall,MEAN,0.59975,0.52525,0.6705249999999999,4000
pre_evaluation,SCORE,0.5975686274509804,,,2
