level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.4255742754444653,0.37645585572885104,0.475841313036248,955
leaf,object_attributes,0.6189576792255364,0.5110944994985173,0.7225340136054421,192
leaf,object_identification,0.6573964106188546,0.5935466295837597,0.7209872015514321,866
leaf,spatial_localization_camera,0.7501692168708977,0.6523789113547517,0.8452369356833641,213
leaf,spatial_localization_situs,0.8214285714285714,0.6425595238095236,0.9761904761904762,25
leaf,temporal_localization,1.0,1.0,1.0,1
group,aggregation,0.4255742754444653,0.37620283400705345,0.4774248021919011,955
group,object_recognition,0.6701218712279291,0.6183398322979439,0.7191023384040294,1296
group,temporal_grounding,1.0,1.0,1.0,1
answer_format,binary,0.8061728395061728,0.7219058641975308,0.883341049382716,176
answer_format,fo_class,0.6553217106884626,0.5937010461316632,0.7148356389542655,920
answer_format,multiple_choice,0.8782051282051283,0.767815170940171,0.9642857142857143,90
answer_format,number,0.337756666215427,0.28554880023358714,0.39006572989974003,768
answer_format,open_ended,0.6693340273172208,0.5907500557040999,0.7548776717126244,298
overall,MEAN,0.5607363315696648,0.51908344356261,0.6003548004850089,2252
pre_evaluation,SCORE,0.6953000775644754,,,3
