level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.54268359965442,0.45908588581135323,0.6180817982981193,1875
leaf,object_attributes,0.7083333333333333,0.375,1.0,21
leaf,object_identification,0.6723390605498862,0.5622105119119193,0.7829117107509346,1591
leaf,spatial_localization_camera,0.6031326473749236,0.49826173262950674,0.6951643744195409,427
leaf,spatial_localization_situs,0.7646115558292282,0.5315396012931034,0.9732142857142857,86
group,aggregation,0.54268359965442,0.453797616248765,0.6139946284583017,1875
group,object_recognition,0.6601383760614441,0.5542600502158701,0.7609900695052588,2125
answer_format,binary,0.7119699817726133,0.6169784902597402,0.7987835925039872,548
answer_format,fo_class,0.6571038927073457,0.548023643385921,0.7713700025290735,1755
answer_format,multiple_choice,0.7740686434234821,0.5792424242424242,0.9467877701748668,112
answer_format,number,0.4723703656053499,0.3895297241674995,0.5569341978449461,1326
answer_format,open_ended,0.6324883955885653,0.5193016443234184,0.7403685866764814,259
overall,MEAN,0.5912499999999999,0.5155,0.6687687499999999,4000
pre_evaluation,SCORE,0.588313725490196,,,2
