level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.3781829820284984,0.33447070648404115,0.42848507517980566,955
leaf,object_attributes,0.5692198674341531,0.4522333693092622,0.6887124705651492,192
leaf,object_identification,0.42025698878668366,0.3692330746015355,0.4704333943235326,866
leaf,spatial_localization_camera,0.602243438167808,0.4955365820570653,0.7085652726999889,213
leaf,spatial_localization_situs,0.5714285714285714,0.2857142857142857,0.7857142857142857,25
leaf,temporal_localization,1.0,1.0,1.0,1
group,aggregation,0.3781829820284984,0.33099345746468695,0.4251716147282478,955
group,object_recognition,0.4706490460434747,0.4286323758661374,0.5111943512251619,1296
group,temporal_grounding,1.0,1.0,1.0,1
answer_format,binary,0.661331569664903,0.5693761022927689,0.7512290564373896,176
answer_format,fo_class,0.4171173752606499,0.36298257513408827,0.47011719399546276,920
answer_format,multiple_choice,0.7413003663003663,0.5772321428571429,0.8788194444444444,90
answer_format,number,0.3152531150446903,0.27117303152542466,0.36395680149395293,768
answer_format,open_ended,0.5509500274468763,0.46078706169239253,0.6359028183680232,298
overall,MEAN,0.4302799823633157,0.3926022376543209,0.4617762070105819,2252
pre_evaluation,SCORE,0.6151827074311077,,,3
