level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.36288121344922736,0.3211927889114942,0.4065894428821803,955
leaf,object_attributes,0.5829408686551544,0.467172918847026,0.7040697633219954,192
leaf,object_identification,0.4620066629075609,0.40915989840338723,0.5140050575657706,866
leaf,spatial_localization_camera,0.6562283071736853,0.5530516164799253,0.7585710136327258,213
leaf,spatial_localization_situs,0.5238095238095238,0.27380952380952384,0.7622023809523808,25
leaf,temporal_localization,1.0,1.0,1.0,1
group,aggregation,0.36288121344922736,0.320730042770691,0.4077553624773122,955
group,object_recognition,0.5076399467818375,0.46546988109326537,0.5513049691068086,1296
group,temporal_grounding,1.0,1.0,1.0,1
answer_format,binary,0.6813932980599646,0.5874559082892415,0.7684325396825398,176
answer_format,fo_class,0.4677770010958862,0.41805602639291356,0.5192420872656929,920
answer_format,multiple_choice,0.7350427350427351,0.5634882478632479,0.8753281440781441,90
answer_format,number,0.2944359788794821,0.25395789429093774,0.3360517492041524,768
answer_format,open_ended,0.5591185570964983,0.465456521623801,0.6489305306912975,298
overall,MEAN,0.4444334215167549,0.40953276565255736,0.4796548445767196,2252
pre_evaluation,SCORE,0.622402936677224,,,3
