level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.5841457360928509,0.5097312191962421,0.6467779860262802,1875
leaf,object_attributes,0.609375,0.3020833333333333,0.9013020833333331,21
leaf,object_identification,0.7187379927137201,0.6150346402441342,0.810479877384008,1591
leaf,spatial_localization_camera,0.6391756866580786,0.5448461383069185,0.7202151963078309,427
leaf,spatial_localization_situs,0.7887674466338259,0.5989955357142858,0.9627976190476191,86
group,aggregation,0.5841457360928509,0.5033636132331485,0.6488218852512239,1875
group,object_recognition,0.7006423391008159,0.6102191607000385,0.784413900330196,2125
answer_format,binary,0.7720370419054629,0.6546125897129186,0.8564644363312127,548
answer_format,fo_class,0.7035252313119534,0.610354620146102,0.793439172800477,1755
answer_format,multiple_choice,0.7777723471271858,0.5849253285543607,0.9528225806451613,112
answer_format,number,0.5068954103806422,0.42008589421997916,0.580193835610638,1326
answer_format,open_ended,0.6458404413922241,0.5482730100544616,0.7439933776749565,259
overall,MEAN,0.6332500000000001,0.5612375000000001,0.6910125,4000
pre_evaluation,SCORE,0.6299450980392156,,,2
