level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.4338269351921575,0.384972439010915,0.4818581642016675,955
leaf,object_attributes,0.6288832199546485,0.5150912889194138,0.7393073270975058,192
leaf,object_identification,0.6406610248373913,0.5812762648546331,0.7022915393463963,866
leaf,spatial_localization_camera,0.7571670159905455,0.6756701929023358,0.8458680062934265,213
leaf,spatial_localization_situs,0.8452380952380952,0.6547619047619048,1.0,25
leaf,temporal_localization,1.0,1.0,1.0,1
group,aggregation,0.4338269351921575,0.3862924946754329,0.4845565236997309,955
group,object_recognition,0.6587805518234731,0.6101240081732541,0.7047621124362681,1296
group,temporal_grounding,1.0,1.0,1.0,1
answer_format,binary,0.8354938271604938,0.7287037037037037,0.9197530864197532,176
answer_format,fo_class,0.6372084859008045,0.5750068008114357,0.6984584386673244,920
answer_format,multiple_choice,0.8824786324786325,0.7765682234432234,0.9643162393162393,90
answer_format,number,0.346450064006555,0.2977831671386918,0.3922000949108497,768
answer_format,open_ended,0.6791642472839953,0.6028780021624035,0.7614179213352008,298
overall,MEAN,0.5594521604938271,0.5207086364638448,0.5951809138007053,2252
pre_evaluation,SCORE,0.6952631805744081,,,3
