level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.3868565073672296,0.3408861666234388,0.43717328491383095,955
leaf,object_attributes,0.5747825091575091,0.4519871386054422,0.685220556972789,192
leaf,object_identification,0.42999917569157514,0.3748456099008725,0.48299087047697203,866
leaf,spatial_localization_camera,0.6171243905487602,0.5114000683315284,0.7341048138369567,213
leaf,spatial_localization_situs,0.3928571428571429,0.14285714285714285,0.6428571428571429,25
leaf,temporal_localization,1.0,1.0,1.0,1
group,aggregation,0.3868565073672296,0.3414160990960531,0.4329048600100274,955
group,object_recognition,0.476018268078447,0.4348250145187585,0.5219901331000788,1296
group,temporal_grounding,1.0,1.0,1.0,1
answer_format,binary,0.6875661375661376,0.583259479717813,0.7792912257495591,176
answer_format,fo_class,0.43038316657650394,0.37225220861408,0.48836408109397184,920
answer_format,multiple_choice,0.7608363858363858,0.5832837301587303,0.8974358974358975,90
answer_format,number,0.3199218099810876,0.27603499614780935,0.36784369420437457,768
answer_format,open_ended,0.5275503470619017,0.4329476269674537,0.6207188386718323,298
overall,MEAN,0.4355268959435626,0.3974696869488536,0.46934041556437384,2252
pre_evaluation,SCORE,0.6186364811582962,,,3
